ID	Kanji	Meaning	OnReadings	KunReadings	ExampleWord	ExampleReading	ExampleMeaning	JLPT	Grade	StrokeCount	Radical	RadicalName	FrequencyRank	Tags	Etymology
N5-001	一	one	イチ	ひと	一人	一人[ひとり]	one person	N5	1					beginner	[一] A single horizontal stroke — a direct pictograph of one tally mark.
N5-002	二	two	ニ	ふた	二日	二日[ふつか]	two days; second day	N5	1					beginner	[二] Two horizontal strokes stacked — a direct pictograph of two tally marks.
N5-003	三	three	サン	み	三人	三人[さんにん]	three people	N5	1					beginner	[三] Three horizontal strokes stacked — a direct pictograph of three tally marks.
N5-004	四	four	シ	よ、よん	四月	四月[しがつ]	April	N5	1					beginner	[囗] (enclosure) + 儿 (legs) — originally a pictograph of a divided space, standardised over centuries into the current form.
N5-005	五	five	ゴ	いつ	五日	五日[いつか]	fifth day	N5	1					beginner	[一] (top stroke) + 乂 (crossed strokes) + 一 (bottom stroke) — originated as a crossed tally mark between two lines in ancient script.
N5-006	六	six	ロク	む	六日	六日[むいか]	sixth day	N5	1					beginner	[八] (diverging strokes, below) + 亠 (top dot and stroke) — the lower 八 component represents splitting; the shape was repurposed phonetically for six.
N5-007	七	seven	シチ	なな	七日	七日[なのか]	seventh day	N5	1					beginner	[一] (horizontal stroke) + a vertical hook below — originated as a pictograph of a cut or notch, borrowed phonetically for the number seven.
N5-008	八	eight	ハチ	や	八日	八日[ようか]	eighth day	N5	1					beginner	[八] Two diverging strokes — a pictograph of something splitting apart, borrowed for the number eight.
N5-009	九	nine	キュウ、ク	ここの	九日	九日[ここのか]	ninth day	N5	1					beginner	[乙] A curving stroke with a hook — originated as a pictograph of a bent arm, borrowed phonetically for the number nine.
N5-010	十	ten	ジュウ	とお	十日	十日[とおか]	tenth day	N5	1					beginner	[十] A vertical and horizontal stroke crossing — originally a single vertical line with a central mark indicating a complete count.
N5-011	百	hundred	ヒャク		百円	百円[ひゃくえん]	100 yen	N5	1					beginner	[白] (white, below) + 一 (one, top stroke) — one above white; thought to derive from a pictograph of a thumb representing a large counting unit.
N5-012	千	thousand	セン		千円	千円[せんえん]	1,000 yen	N5	1					beginner	[十] (ten, lower strokes) + 一 (one, top stroke) — a person with a mark above indicating a great multitude.
N5-013	万	ten thousand	マン、バン		一万円	一万円[いちまんえん]	10,000 yen	N5	1					beginner	[一] (top stroke) — originally a pictograph of a scorpion in oracle bone script, associated with swarming abundance; borrowed for ten thousand.
N5-014	円	yen; circle	エン		百円	百円[ひゃくえん]	100 yen	N5	1					beginner	[冂] (enclosure frame) + 人 (person, inside) — simplified from 圓, a round enclosure; the circular shape gave rise to the meaning of circle and currency.
N5-015	日	day; sun	ニチ、ジツ	ひ、か	今日	今日[きょう]	today	N5	1					beginner	[日] A circle with a central stroke — direct pictograph of the sun with a sunspot, distinguishing it from the moon 月.
N5-016	月	month; moon	ゲツ、ガツ	つき	月曜日	月曜日[げつようび]	Monday	N5	1					beginner	[月] A crescent shape — direct pictograph of the crescent moon; used for month because months were tracked by lunar cycles.
N5-017	火	fire	カ	ひ	火曜日	火曜日[かようび]	Tuesday	N5	1					beginner	[火] A central upward flame stroke with two outer strokes — direct pictograph of a flame with sparks flying to each side.
N5-018	水	water	スイ	みず	水	水[みず]	water	N5	1					beginner	[水] A central vertical stream with strokes on each side — direct pictograph of flowing water with splashing tributaries.
N5-019	木	tree	ボク、モク	き	木	木[き]	tree	N5	1					beginner	[木] A vertical trunk with branches above and roots below — direct pictograph of a tree, with the horizontal stroke as the ground line.
N5-020	金	gold; money	キン、コン	かね	金曜日	金曜日[きんようび]	Friday	N5	1					beginner	[金] 人 (person, top) + 土 (earth, below) + two dots — pictograph of gold nuggets buried in the earth beneath a covering mound.
N5-021	土	earth; soil	ド、ト	つち	土曜日	土曜日[どようび]	Saturday	N5	1					beginner	[土] A horizontal stroke on the ground with a vertical stem rising from it — pictograph of a mound or clod of earth.
N5-022	年	year	ネン	とし	今年	今年[ことし]	this year	N5	1					beginner	[干] (stem, upper) + 人 (person, lower) — originally depicted a person carrying a bundle of grain, representing the annual harvest cycle.
N5-023	時	time; hour	ジ	とき	時間	時間[じかん]	time	N5	1					beginner	[日] (sun) + 寺 (temple) — the sun's position over a temple marking the hours; temples historically rang bells to mark the time.
N5-024	分	minute; part	ブン、フン、ブ	わ.ける	五分	五分[ごふん]	five minutes	N5	1					beginner	[刀] (knife, below) + 八 (diverging, top) — a knife dividing something into parts; to separate or divide.
N5-025	半	half	ハン	なか.ば	半分	半分[はんぶん]	half	N5	1					beginner	[十] (vertical stroke below) + 八 (diverging, top) — something split apart down the middle; half.
